date,serial_number,model,capacity_bytes,failure,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized
24/1/2019,ZCH07RJM,ST12000NM0007,1.20E+13,1,80,93,100,100,100
25/1/2019,ZCH0BC0N,ST12000NM0007,1.20E+13,1,100,100,100,100,100
25/1/2019,Z304JJ0A,ST4000DM000,4.00E+12,1,100,87,100,100,100
25/1/2019,Z304L8JW,ST4000DM000,4.00E+12,1,100,100,100,100,100
25/1/2019,WD-WXB1AB527399,WDC WD5000LPCX,5.00E+11,1,200,,,200,100
25/1/2019,ZCH0BVLB,ST12000NM0007,1.20E+13,1,100,93,100,100,100
25/1/2019,ZCH0CZ94,ST12000NM0007,1.20E+13,1,100,98,100,100,100
26/1/2019,ZA143SM3,ST8000DM002,8.00E+12,1,100,100,100,100,100
26/1/2019,ZJV1CSQ0,ST12000NM0007,1.20E+13,1,100,100,100,100,100
27/1/2019,Z304JN7J,ST4000DM000,4.00E+12,1,100,95,100,100,100
27/1/2019,ZCH05KWT,ST12000NM0007,1.20E+13,1,100,87,100,100,100
27/1/2019,Z303MZ9Y,ST4000DM000,4.00E+12,1,100,100,100,100,100
27/1/2019,Z30251XR,ST4000DM000,4.00E+12,1,100,100,100,100,100
28/1/2019,ZA1890DY,ST8000NM0055,8.00E+12,1,98,98,100,100,100
28/1/2019,Z3025LRK,ST4000DM000,4.00E+12,1,100,1,100,100,100
28/1/2019,ZCH08N8S,ST12000NM0007,1.20E+13,1,99,99,100,100,100
28/1/2019,ZCH0BFCV,ST12000NM0007,1.20E+13,1,100,100,100,100,100
28/1/2019,ZA11SBWJ,ST8000NM0055,8.00E+12,1,93,96,100,100,100
28/1/2019,Z300YLXG,ST4000DM000,4.00E+12,1,84,100,100,84,84
29/1/2019,S300X3XJ,ST4000DM000,4.00E+12,1,100,98,100,100,100
29/1/2019,ZJV00NYA,ST12000NM0007,1.20E+13,1,100,100,100,100,100
30/1/2019,AAG1SRHH,HGST HUH721212ALN604,1.20E+13,1,100,,,100,100
31/1/2019,ZJV1CSTH,ST12000NM0007,1.20E+13,1,100,100,100,100,100
31/1/2019,Z302SR45,ST4000DM000,4.00E+12,1,100,100,100,100,100
1/2/2019,ZCH0FEAV,ST12000NM0007,1.20E+13,1,100,100,100,100,100
1/2/2019,ZCH07BEE,ST12000NM0007,1.20E+13,1,99,100,100,100,100
1/2/2019,X8L0A01BF97G,TOSHIBA MG07ACA14TA,1.40E+13,1,100,,,100,100
1/2/2019,S300Z5S4,ST4000DM000,4.00E+12,1,100,100,100,100,100
2/2/2019,ZCH07B11,ST12000NM0007,1.20E+13,1,100,100,100,100,100
2/2/2019,Z304JM43,ST4000DM000,1.37E+11,1,,,,,
2/2/2019,ZJV03KMS,ST12000NM0007,1.20E+13,1,100,100,100,100,100
2/2/2019,ZCH06PC6,ST12000NM0007,1.20E+13,1,98,95,100,100,100
3/2/2019,ZCH0BXAL,ST12000NM0007,1.20E+13,1,100,100,100,100,100
3/2/2019,ZA130MZT,ST8000DM002,8.00E+12,1,100,100,100,100,100
3/2/2019,ZJV1J8AX,ST12000NM0007,1.20E+13,1,100,100,100,100,100
